Data;Cena;Akcyza;Oplata paliwowa
27/05/2023;4 909,00;1 160,00;372,9
26/05/2023;4 884,00;1 160,00;372,9
25/05/2023;4 906,00;1 160,00;372,9
24/05/2023;4 897,00;1 160,00;372,9
23/05/2023;4 900,00;1 160,00;372,9
20/05/2023;4 906,00;1 160,00;372,9
19/05/2023;4 908,00;1 160,00;372,9
18/05/2023;4 921,00;1 160,00;372,9
17/05/2023;4 863,00;1 160,00;372,9
16/05/2023;4 874,00;1 160,00;372,9
13/05/2023;4 881,00;1 160,00;372,9
12/05/2023;4 881,00;1 160,00;372,9
11/05/2023;4 881,00;1 160,00;372,9
10/05/2023;4 832,00;1 160,00;372,9
06/05/2023;4 794,00;1 160,00;372,9
05/05/2023;4 793,00;1 160,00;372,9
03/05/2023;4 910,00;1 160,00;372,9
29/04/2023;4 939,00;1 160,00;372,9
28/04/2023;4 916,00;1 160,00;372,9
27/04/2023;4 980,00;1 160,00;372,9
26/04/2023;5 038,00;1 160,00;372,9
25/04/2023;5 099,00;1 160,00;372,9
22/04/2023;5 098,00;1 160,00;372,9
21/04/2023;5 083,00;1 160,00;372,9
20/04/2023;5 224,00;1 160,00;372,9
19/04/2023;5 246,00;1 160,00;372,9
18/04/2023;5 269,00;1 160,00;372,9
15/04/2023;5 338,00;1 160,00;372,9
14/04/2023;5 367,00;1 160,00;372,9
13/04/2023;5 381,00;1 160,00;372,9
12/04/2023;5 389,00;1 160,00;372,9
07/04/2023;5 408,00;1 160,00;372,9
06/04/2023;5 386,00;1 160,00;372,9
05/04/2023;5 376,00;1 160,00;372,9
04/04/2023;5 374,00;1 160,00;372,9
01/04/2023;5 334,00;1 160,00;372,9
31/03/2023;5 328,00;1 160,00;372,9
30/03/2023;5 360,00;1 160,00;372,9
29/03/2023;5 403,00;1 160,00;372,9
28/03/2023;5 392,00;1 160,00;372,9
25/03/2023;5 390,00;1 160,00;372,9
24/03/2023;5 385,00;1 160,00;372,9
23/03/2023;5 421,00;1 160,00;372,9
22/03/2023;5 412,00;1 160,00;372,9
21/03/2023;5 412,00;1 160,00;372,9
18/03/2023;5 394,00;1 160,00;372,9
17/03/2023;5 346,00;1 160,00;372,9
16/03/2023;5 312,00;1 160,00;372,9
15/03/2023;5 539,00;1 160,00;372,9
14/03/2023;5 560,00;1 160,00;372,9
11/03/2023;5 606,00;1 160,00;372,9
10/03/2023;5 583,00;1 160,00;372,9
09/03/2023;5 721,00;1 160,00;372,9
08/03/2023;5 743,00;1 160,00;372,9
07/03/2023;5 764,00;1 160,00;372,9
04/03/2023;5 763,00;1 160,00;372,9
03/03/2023;5 761,00;1 160,00;372,9
02/03/2023;5 763,00;1 160,00;372,9
01/03/2023;5 786,00;1 160,00;372,9
28/02/2023;5 715,00;1 160,00;372,9
25/02/2023;5 694,00;1 160,00;372,9
24/02/2023;5 686,00;1 160,00;372,9
23/02/2023;5 710,00;1 160,00;372,9
22/02/2023;5 730,00;1 160,00;372,9
21/02/2023;5 767,00;1 160,00;372,9
18/02/2023;5 805,00;1 160,00;372,9
17/02/2023;5 836,00;1 160,00;372,9
16/02/2023;5 852,00;1 160,00;372,9
15/02/2023;5 885,00;1 160,00;372,9
14/02/2023;5 891,00;1 160,00;372,9
11/02/2023;5 851,00;1 160,00;372,9
10/02/2023;5 805,00;1 160,00;372,9
09/02/2023;5 833,00;1 160,00;372,9
08/02/2023;5 837,00;1 160,00;372,9
07/02/2023;5 786,00;1 160,00;372,9
04/02/2023;5 807,00;1 160,00;372,9
03/02/2023;5 890,00;1 160,00;372,9
02/02/2023;5 982,00;1 160,00;372,9
01/02/2023;6 037,00;1 160,00;372,9
31/01/2023;6 095,00;1 160,00;372,9
28/01/2023;6 177,00;1 160,00;372,9
27/01/2023;6 214,00;1 160,00;372,9
26/01/2023;6 219,00;1 160,00;372,9
25/01/2023;6 223,00;1 160,00;372,9
24/01/2023;6 245,00;1 160,00;372,9
21/01/2023;6 200,00;1 160,00;372,9
20/01/2023;6 186,00;1 160,00;372,9
19/01/2023;6 203,00;1 160,00;372,9
18/01/2023;6 160,00;1 160,00;372,9
17/01/2023;6 111,00;1 160,00;372,9
14/01/2023;6 096,00;1 160,00;372,9
13/01/2023;6 071,00;1 160,00;372,9
12/01/2023;6 007,00;1 160,00;372,9
11/01/2023;6 011,00;1 160,00;372,9
10/01/2023;6 020,00;1 160,00;372,9
06/01/2023;6 045,00;1 160,00;372,9
05/01/2023;6 081,00;1 160,00;372,9
04/01/2023;6 113,00;1 160,00;372,9
01/01/2023;6 094,00;1 160,00;372,9
31/12/2022;6 057,00;1 104,00;329,12
30/12/2022;6 895,00;1 104,00;329,12
29/12/2022;6 900,00;1 104,00;329,12
