Data;Cena;Akcyza;Oplata_paliwowa
27/05/2023;5 264,00;1 160,00;372,9
26/05/2023;5 239,00;1 160,00;372,9
25/05/2023;5 261,00;1 160,00;372,9
24/05/2023;5 252,00;1 160,00;372,9
23/05/2023;5 255,00;1 160,00;372,9
20/05/2023;5 261,00;1 160,00;372,9
19/05/2023;5 263,00;1 160,00;372,9
18/05/2023;5 276,00;1 160,00;372,9
17/05/2023;5 218,00;1 160,00;372,9
16/05/2023;5 229,00;1 160,00;372,9
13/05/2023;5 236,00;1 160,00;372,9
12/05/2023;5 236,00;1 160,00;372,9
11/05/2023;5 236,00;1 160,00;372,9
10/05/2023;5 187,00;1 160,00;372,9
06/05/2023;5 149,00;1 160,00;372,9
05/05/2023;5 148,00;1 160,00;372,9
03/05/2023;5 265,00;1 160,00;372,9
29/04/2023;5 294,00;1 160,00;372,9
28/04/2023;5 271,00;1 160,00;372,9
27/04/2023;5 335,00;1 160,00;372,9
26/04/2023;5 393,00;1 160,00;372,9
25/04/2023;5 454,00;1 160,00;372,9
22/04/2023;5 453,00;1 160,00;372,9
21/04/2023;5 438,00;1 160,00;372,9
20/04/2023;5 579,00;1 160,00;372,9
19/04/2023;5 601,00;1 160,00;372,9
18/04/2023;5 624,00;1 160,00;372,9
15/04/2023;5 693,00;1 160,00;372,9
14/04/2023;5 722,00;1 160,00;372,9
13/04/2023;5 736,00;1 160,00;372,9
12/04/2023;5 744,00;1 160,00;372,9
07/04/2023;5 763,00;1 160,00;372,9
06/04/2023;5 741,00;1 160,00;372,9
05/04/2023;5 731,00;1 160,00;372,9
04/04/2023;5 729,00;1 160,00;372,9
01/04/2023;5 689,00;1 160,00;372,9
31/03/2023;5 683,00;1 160,00;372,9
30/03/2023;5 715,00;1 160,00;372,9
29/03/2023;5 758,00;1 160,00;372,9
28/03/2023;5 747,00;1 160,00;372,9
25/03/2023;5 745,00;1 160,00;372,9
24/03/2023;5 740,00;1 160,00;372,9
23/03/2023;5 776,00;1 160,00;372,9
22/03/2023;5 767,00;1 160,00;372,9
21/03/2023;5 767,00;1 160,00;372,9
18/03/2023;5 749,00;1 160,00;372,9
17/03/2023;5 701,00;1 160,00;372,9
16/03/2023;5 667,00;1 160,00;372,9
15/03/2023;5 894,00;1 160,00;372,9
14/03/2023;5 915,00;1 160,00;372,9
11/03/2023;5 961,00;1 160,00;372,9
10/03/2023;5 938,00;1 160,00;372,9
09/03/2023;6 076,00;1 160,00;372,9
08/03/2023;6 098,00;1 160,00;372,9
07/03/2023;6 119,00;1 160,00;372,9
04/03/2023;6 118,00;1 160,00;372,9
03/03/2023;6 116,00;1 160,00;372,9
02/03/2023;6 118,00;1 160,00;372,9
01/03/2023;6 141,00;1 160,00;372,9
28/02/2023;6 070,00;1 160,00;372,9
25/02/2023;6 049,00;1 160,00;372,9
24/02/2023;6 041,00;1 160,00;372,9
23/02/2023;6 065,00;1 160,00;372,9
22/02/2023;6 085,00;1 160,00;372,9
21/02/2023;6 122,00;1 160,00;372,9
18/02/2023;6 160,00;1 160,00;372,9
17/02/2023;6 191,00;1 160,00;372,9
16/02/2023;6 207,00;1 160,00;372,9
15/02/2023;6 240,00;1 160,00;372,9
14/02/2023;6 246,00;1 160,00;372,9
11/02/2023;6 206,00;1 160,00;372,9
10/02/2023;6 160,00;1 160,00;372,9
09/02/2023;6 188,00;1 160,00;372,9
08/02/2023;6 192,00;1 160,00;372,9
07/02/2023;6 141,00;1 160,00;372,9
04/02/2023;6 162,00;1 160,00;372,9
03/02/2023;6 245,00;1 160,00;372,9
02/02/2023;6 337,00;1 160,00;372,9
01/02/2023;6 392,00;1 160,00;372,9
31/01/2023;6 450,00;1 160,00;372,9
28/01/2023;6 532,00;1 160,00;372,9
27/01/2023;6 569,00;1 160,00;372,9
26/01/2023;6 574,00;1 160,00;372,9
25/01/2023;6 578,00;1 160,00;372,9
24/01/2023;6 600,00;1 160,00;372,9
21/01/2023;6 555,00;1 160,00;372,9
20/01/2023;6 541,00;1 160,00;372,9
19/01/2023;6 558,00;1 160,00;372,9
18/01/2023;6 515,00;1 160,00;372,9
17/01/2023;6 466,00;1 160,00;372,9
14/01/2023;6 451,00;1 160,00;372,9
13/01/2023;6 426,00;1 160,00;372,9
12/01/2023;6 362,00;1 160,00;372,9
11/01/2023;6 366,00;1 160,00;372,9
10/01/2023;6 375,00;1 160,00;372,9
06/01/2023;6 400,00;1 160,00;372,9
05/01/2023;6 436,00;1 160,00;372,9
04/01/2023;6 468,00;1 160,00;372,9
01/01/2023;6 449,00;1 160,00;372,9
31/12/2022;6 412,00;1 104,00;329,12
30/12/2022;7 250,00;1 104,00;329,12
29/12/2022;7 255,00;1 104,00;329,12
24/12/2022;7 178,00;1 104,00;329,12
23/12/2022;7 144,00;1 104,00;329,12
22/12/2022;7 141,00;1 104,00;329,12
21/12/2022;7 152,00;1 104,00;329,12
20/12/2022;7 164,00;1 104,00;329,12
17/12/2022;7 174,00;1 104,00;329,12
16/12/2022;7 187,00;1 104,00;329,12
15/12/2022;7 167,00;1 104,00;329,12
14/12/2022;7 100,00;1 104,00;329,12
13/12/2022;6 934,00;1 104,00;329,12
