Data;Cena;Akcyza;Oplata_paliwowa
27/05/2023;3 977,00;232;0
26/05/2023;3 957,00;232;0
25/05/2023;3 966,00;232;0
24/05/2023;3 959,00;232;0
23/05/2023;3 947,00;232;0
20/05/2023;3 938,00;232;0
19/05/2023;3 938,00;232;0
18/05/2023;3 950,00;232;0
17/05/2023;3 887,00;232;0
16/05/2023;3 896,00;232;0
13/05/2023;3 910,00;232;0
12/05/2023;3 915,00;232;0
11/05/2023;3 904,00;232;0
10/05/2023;3 852,00;232;0
06/05/2023;3 810,00;232;0
05/05/2023;3 808,00;232;0
03/05/2023;3 924,00;232;0
29/04/2023;3 954,00;232;0
28/04/2023;3 932,00;232;0
27/04/2023;3 996,00;232;0
26/04/2023;4 046,00;232;0
25/04/2023;4 128,00;232;0
22/04/2023;4 133,00;232;0
21/04/2023;4 180,00;232;0
20/04/2023;4 232,00;232;0
19/04/2023;4 264,00;232;0
18/04/2023;4 303,00;232;0
15/04/2023;4 385,00;232;0
14/04/2023;4 411,00;232;0
13/04/2023;4 422,00;232;0
12/04/2023;4 424,00;232;0
07/04/2023;4 427,00;232;0
06/04/2023;4 405,00;232;0
05/04/2023;4 397,00;232;0
04/04/2023;4 405,00;232;0
01/04/2023;4 379,00;232;0
31/03/2023;4 391,00;232;0
30/03/2023;4 405,00;232;0
29/03/2023;4 421,00;232;0
28/03/2023;4 422,00;232;0
25/03/2023;4 433,00;232;0
24/03/2023;4 447,00;232;0
23/03/2023;4 448,00;232;0
22/03/2023;4 422,00;232;0
21/03/2023;4 417,00;232;0
18/03/2023;4 406,00;232;0
17/03/2023;4 369,00;232;0
16/03/2023;4 334,00;232;0
15/03/2023;4 532,00;232;0
14/03/2023;4 544,00;232;0
11/03/2023;4 603,00;232;0
10/03/2023;4 588,00;232;0
09/03/2023;4 699,00;232;0
08/03/2023;4 716,00;232;0
07/03/2023;4 733,00;232;0
04/03/2023;4 730,00;232;0
03/03/2023;4 730,00;232;0
02/03/2023;4 751,00;232;0
