Data;Cena;Akcyza;Oplata_paliwowa
27/05/2023;5 192,00;1 529,00;172,91
26/05/2023;5 198,00;1 529,00;172,91
25/05/2023;5 221,00;1 529,00;172,91
24/05/2023;5 205,00;1 529,00;172,91
23/05/2023;5 151,00;1 529,00;172,91
20/05/2023;5 142,00;1 529,00;172,91
19/05/2023;5 148,00;1 529,00;172,91
18/05/2023;5 138,00;1 529,00;172,91
17/05/2023;5 058,00;1 529,00;172,91
16/05/2023;5 069,00;1 529,00;172,91
13/05/2023;5 074,00;1 529,00;172,91
12/05/2023;5 068,00;1 529,00;172,91
11/05/2023;5 065,00;1 529,00;172,91
10/05/2023;5 000,00;1 529,00;172,91
06/05/2023;5 003,00;1 529,00;172,91
05/05/2023;5 018,00;1 529,00;172,91
03/05/2023;5 089,00;1 529,00;172,91
29/04/2023;5 130,00;1 529,00;172,91
28/04/2023;5 131,00;1 529,00;172,91
27/04/2023;5 151,00;1 529,00;172,91
26/04/2023;5 163,00;1 529,00;172,91
25/04/2023;5 197,00;1 529,00;172,91
22/04/2023;5 225,00;1 529,00;172,91
21/04/2023;5 272,00;1 529,00;172,91
20/04/2023;5 334,00;1 529,00;172,91
19/04/2023;5 396,00;1 529,00;172,91
18/04/2023;5 435,00;1 529,00;172,91
15/04/2023;5 464,00;1 529,00;172,91
14/04/2023;5 465,00;1 529,00;172,91
13/04/2023;5 473,00;1 529,00;172,91
12/04/2023;5 461,00;1 529,00;172,91
07/04/2023;5 448,00;1 529,00;172,91
06/04/2023;5 426,00;1 529,00;172,91
05/04/2023;5 416,00;1 529,00;172,91
04/04/2023;5 433,00;1 529,00;172,91
01/04/2023;5 399,00;1 529,00;172,91
31/03/2023;5 382,00;1 529,00;172,91
30/03/2023;5 437,00;1 529,00;172,91
29/03/2023;5 380,00;1 529,00;172,91
28/03/2023;5 336,00;1 529,00;172,91
25/03/2023;5 297,00;1 529,00;172,91
24/03/2023;5 262,00;1 529,00;172,91
23/03/2023;5 225,00;1 529,00;172,91
22/03/2023;5 188,00;1 529,00;172,91
21/03/2023;5 185,00;1 529,00;172,91
18/03/2023;5 192,00;1 529,00;172,91
17/03/2023;5 209,00;1 529,00;172,91
16/03/2023;5 249,00;1 529,00;172,91
15/03/2023;5 304,00;1 529,00;172,91
14/03/2023;5 325,00;1 529,00;172,91
11/03/2023;5 349,00;1 529,00;172,91
10/03/2023;5 364,00;1 529,00;172,91
